Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
7/27/2023 15:28,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Research Associate,Bachelors or Equivalent,None,,1,70000,N/A (no overtime/salaried),5000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,2000,
7/28/2023 16:23,United States,Redwood City,Industrial Biotech,Synthego Corporation,Private,200-1000,Cell Engineer Specialist,Bachelors or Equivalent,None,"Utilized CRISPR-Cas9 in production to genetically edit immortalized and iPSC cell lines for research clients (biotech, pharma, and academia). Facilitate quality control of CRISPR-edited cells.",5,70720,1.5x base,Not Applicable/None,Not Applicable/None,0,N/A.,401K (not 3% match),"Blue Shield or Kaiser, Dental - Aetna or Delta Dental. HSA contributions.",Company/Institution does not have annual yearly raise,,"I do not recommend working here. My former work colleagues are great and supportive. However, management and work culture is bad. Leadership does not know what they are precisely doing. The vision of leadership does not align with reality. Management is also toxic to employees and try to gaslit people for speaking up."
7/31/2023 19:54,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist,PhD or Equivalent,None,,2,120000,N/A (no overtime/salaried),15000,Not Applicable/None,,3000 RSUs,50% match up to 60%,$2K/yr HSA contribution,Have not been long enough to have an annual yearly raise,,
8/2/2023 21:09,United States,Research Triangle,Industrial Biotech,Prefer not to say,Subsidiary,,Lab tech 1,Bachelors or Equivalent,None,,0,54000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
8/10/2023 19:03,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,50-200,Scientist II,PhD or Equivalent,None,,3,125000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
9/17/2023 13:50,United States,San Diego,Industrial Biotech,Prefer not to say,Public,5000+,Senior Bioinfornatics Scientist,PhD or Equivalent,None,,5,150000,N/A (no overtime/salaried),Not Applicable/None,10000,,RSU and ESPP,,,Have not been long enough to have an annual yearly raise,30000,
10/2/2023 20:31,United States,Houston,Industrial Biotech,Fujifilm,Public,1000-5000,QC Sample Receipt Analyst,Bachelors or Equivalent,None,Receive samples from manufacturing and shipping then store in fridges for further QC testing and studies.,1,46384,1.5x base,Not Applicable/None,Not Applicable/None,,,6% 401k match,,Have not been long enough to have an annual yearly raise,,"Great coworkers, benefits, product, and work culture, but terrible location away from any major city."
10/18/2023 14:16,United States,"Portland, OR",Industrial Biotech,Thermo Fisher,Public,5000+,Staff Scientist,PhD or Equivalent,None,,7,120000,N/A (no overtime/salaried),18000,Not Applicable/None,0,"5% discount on max of 10% income, quarterly",5%,"Decent, do not recall specics",4,,
10/24/2023 9:35,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,VP,PhD or Equivalent,MBA,,12,291000,N/A (no overtime/salaried),87000,Not Applicable/None,,,,,3,,
10/26/2023 23:40,United States,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Director of Product Management ,PhD or Equivalent,None,,13,190000,N/A (no overtime/salaried),38000,90000,,,3% match,,4.50%,,
10/26/2023 23:48,United States,San Diego,Industrial Biotech,Prefer not to say,Public,1-50,Laboratory Manager,Bachelors or Equivalent,None,,7,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,5000 shares,6% match ,Yes,Have not been long enough to have an annual yearly raise,,
10/27/2023 15:45,United States,Bay Area ,Industrial Biotech,Prefer not to say,Start-up,1-50,Founding scientist ,PhD or Equivalent,None,Founding scientist combination wet lab and computational ,2,90000,N/A (no overtime/salaried),Not Applicable/None,0.625% annual (2.5% over 4 years),5000,,Gusto 401k,,Company/Institution does not have annual yearly raise,,
10/27/2023 18:08,United States,Maryland/DC,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Scientist 2,Bachelors or Equivalent,None,Biological Safety Testing ,3,63440,N/A (no overtime/salaried),5000,Not Applicable/None,0,n/a,6% 401k match ,HSA- 500$ employer adds ,Have not been long enough to have an annual yearly raise,,
11/4/2023 23:43,United States,SF Bay Area ,Industrial Biotech,Prefer not to say,Private,200-1000,Research Associate II,Bachelors or Equivalent,None,,4,93000,N/A (no overtime/salaried),9300,Not Applicable/None,,,,,3%,,
11/5/2023 17:02,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,1-50,Scientist I,PhD or Equivalent,None,,1,130000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5000,,,,Company/Institution does not have annual yearly raise,,
11/7/2023 7:36,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,PhD or Equivalent,None,,1,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,5000,
11/8/2023 20:03,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Associate Scientist,Bachelors or Equivalent,None,"Process Development, mRNA Upstream Reaction and Downstream Purification",7,110000,N/A (no overtime/salaried),11000,"5,500 shares per year",0,,5% Match,,Company/Institution does not have annual yearly raise,,Stressful and disorganized
11/9/2023 19:36,United States,Bay Area,Industrial Biotech,Thermo Fisher,Public,5000+,Product Manager,Bachelors or Equivalent,None,,6,125000,N/A (no overtime/salaried),10000,Not Applicable/None,,,,,3%,,
11/19/2023 16:13,United States,Boston,Industrial Biotech,Prefer not to say,Public,50-200,Manager - Quality,Bachelors or Equivalent,None,Internal Quality Operations Manager,7,155000,N/A (no overtime/salaried),"23,250",Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
12/4/2023 10:28,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Director,PhD or Equivalent,None,R&D,11,205000,N/A (no overtime/salaried),41000,Not Applicable/None,,,,,3%,,
12/9/2023 23:59,United States,Boston,Industrial Biotech,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,,0,113000,N/A (no overtime/salaried),11300,Not Applicable/None,0,0,401k 6% match,Low cost low deductible plan,Have not been long enough to have an annual yearly raise,,
12/21/2023 17:02,United States,Chicago,Industrial Biotech,Tempus,Private,200-1000,Bioinformatics Analyst,Masters or Equivalent,None,R&D,7,95000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,4000,Available,,HSA match,Have not been long enough to have an annual yearly raise,,Great to work for
3/29/2023 3:37,United States ,Bay Area,Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist II,Masters or Equivalent,None,,12,130000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,Own 0.5% company shares,,Kaiser HMO,Company/Institution does not have annual yearly raise,,
3/29/2023 10:51,United States ,Salt Lake City,Industrial Biotech,Charles River Labs ,Public,5000+,Project Manager ,Bachelors or Equivalent,None,Project manager for biologics division. No direct reports.,2,80000,N/A (no overtime/salaried),2400,Not Applicable/None,0,There is a stock purchase plan,4% 401k match,$48/biweekly premium for single person. 2000 ded/4000 max oop. 90/10 coinsurance. HSA eligible ,Have not been long enough to have an annual yearly raise,0,"Just started, so N/A"
10/2/2023 0:50,United States ,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Director,PhD or Equivalent,None,,10,175000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,,,12,,
12/21/2023 18:56,United States ,Boston,Industrial Biotech,Prefer not to say,Private,200-1000,Research Associate I,Bachelors or Equivalent,None,,1,70000,N/A (no overtime/salaried),7000,Not Applicable/None,,,6%,,Have not been long enough to have an annual yearly raise,,
3/29/2023 11:38,United States - Florida,Boca Raton,Industrial Biotech,Prefer not to say,Private,1-50,Research associate,Bachelors or Equivalent,None,Research/ development of products and bioassays. Tech transfer into company/ find partners. Manage lab and inventory. Assist in customer inquiry and join client/partner meetings ,7,65000,N/A (no overtime/salaried),1000,Not Applicable/None,0,0,0,Healthcare premiums are paid completely,2-5%,,2/5 not enough support or development for career. I'm doing multiple people's jobs and leadership is lacking
11/1/2023 22:09,United States of America ,Madison ,Industrial Biotech,Prefer not to say,Subsidiary,200-1000,Associate Scientist 1,Bachelors or Equivalent,None,Research and Development Scientist,3,56000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match up to 5%,"Health, dental, vision",Have not been long enough to have an annual yearly raise,,
3/29/2023 1:24,US,DMV,Industrial Biotech,Prefer not to say,Public,1000-5000,Senior Associate Scientist,Bachelors or Equivalent,None,Senior Associate Scientist - Analytical Development LCMS,4,96000,N/A (no overtime/salaried),15%,5%,0,34000,4.5% 401k match no vest period,"FSA/HSA, Good benefits. Out of pocket is 0, total care cost is $176/mo.",4.50%,0,
4/11/2023 21:09,US,NYC,Industrial Biotech,Prefer not to say,Public,5000+,Associate Scientist,Masters or Equivalent,None,,2,81000,N/A (no overtime/salaried),8%,15k,,,,,4%,,
5/5/2023 20:52,US,Columbus,Industrial Biotech,Twist Bioscience,Public,1000-5000,Staff Data Scientist,Bachelors or Equivalent,None,Lead small analytics team heading up machine learning projects and manufacturing optimization,11,217000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match,"FSA, HSA Blue Shield Blue Cross",Have not been long enough to have an annual yearly raise,0,"Great, relaxed place to work with ample autonomy and freedom to build software solutions."
7/20/2023 22:41,US,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist I,Bachelors or Equivalent,None,,7,100000,N/A (no overtime/salaried),10000,Not Applicable/None,,,,,5%,,
3/29/2023 2:29,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,1-50,Computational Biologist II,PhD or Equivalent,None,Data Scientist,1,130000,N/A (no overtime/salaried),13000,8000,0,,4.5% 401k,99% benefits paid by company,11,0,
3/29/2023 3:51,United States,Philadelphia,Industrial Biotech,Century,Start-up,200-1000,Research associate,Masters or Equivalent,None,Research associate - in vivo pharmacology,5,102900,N/A (no overtime/salaried),10%, 600 RSU,,2500 RSU,,95% match,8%,,
3/29/2023 3:52,United States,SF Bay Area,Industrial Biotech,Codexis,Public,50-200,Research Associate III,Bachelors or Equivalent,None,Mid-high level RA position under a scientist. Trained new RAs,4,98000,N/A (no overtime/salaried),9800,1000,5000,$3k-4k in stock options. 1/3 vest every year,4% match on 401k,,Have not been long enough to have an annual yearly raise,,"Great protein engineering company with amazing teams. Company has cycles of layoffs, and now is that time :("
3/29/2023 7:31,United States,Boston,Industrial Biotech,Prefer not to say,Private,1000-5000,Sr. Research Associate,Bachelors or Equivalent,None,,3,95000,N/A (no overtime/salaried),15000,30000,,,5% 401k match,,6%,,
3/29/2023 7:37,United States,Boston,Industrial Biotech,Moderna,Public,1000-5000,Scientist,PhD or Equivalent,None,,1,131000,N/A (no overtime/salaried),20000,35000,10000,,,,5,10000,
3/29/2023 8:00,United States,RTP,Industrial Biotech,Prefer not to say,Start-up,50-200,Sr. Scientist,PhD or Equivalent,None,Fermentation / microbiology,5,118000,N/A (no overtime/salaried),12000,Not Applicable/None,,,3% 401k match,,3,,
3/29/2023 9:09,United States,Philadelphia,Industrial Biotech,Prefer not to say,Start-up,1-50,Sr. Scientist,PhD or Equivalent,None,R&D,11,145000,N/A (no overtime/salaried),13%,Not Applicable/None,,,,,5%,,
3/29/2023 11:30,United States,Seattle,Industrial Biotech,Inventprise,Start-up,50-200,QC Analyst I,Bachelors or Equivalent,None,,2,62400,1.5x base,2200,Not Applicable/None,,,,,3.50%,,
3/29/2023 14:47,United States,Research Triangle ,Industrial Biotech,Bioagilytix ,Private,200-1000,Scientist,Bachelors or Equivalent,None,Develops/transfers/validates assays to characterize immunogenicity for client clinal/preclinical samples. Works with 3-4 contract based clients primarily with GLP/GCP ADA and PK studies. No direct reports. ,5,90000,N/A (no overtime/salaried),9000,Not Applicable/None,,NA,401k,"Standard medical, dental ",Have not been long enough to have an annual yearly raise,7500,Overall good place to build assay development experience. Quality of life depends a bit based on group/manager. Would recommend at the end of the day. 
3/29/2023 19:10,United States,Boston,Industrial Biotech,Flagship Pioneering,Private,1-50,Sr. Scientist II,PhD or Equivalent,None,,5,161000,N/A (no overtime/salaried),20125,Not Applicable/None,15000,,,,4%,,
3/29/2023 19:58,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Product manager,Masters or Equivalent,None,,6,162000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,"Stock options, vest after year.",,,2%,,
3/29/2023 19:58,United States,Boston,Industrial Biotech,Prefer not to say,Public,50-200,Associate Director,PhD or Equivalent,None,,9,168000,N/A (no overtime/salaried),33600,Options - Variable,,Sign on and annual options at market value,,,4,,
3/29/2023 20:53,United States,Boston,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,,0,137500,N/A (no overtime/salaried),20625,Not Applicable/None,0,,,,Have not been long enough to have an annual yearly raise,0,
3/29/2023 22:41,United States,Boston,Industrial Biotech,Intellia therapeutics,Public,200-1000,Associate scientist,Bachelors or Equivalent,None,Immuno-oncology / cell therapy r&d,8,114000,N/A (no overtime/salaried),11000,52000,,"ISO, RSU",,,4,4000,
3/29/2023 23:58,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Sr. Scientist,PhD or Equivalent,None,,5,136000,N/A (no overtime/salaried),15500,Not Applicable/None,,,,,6.5,,
3/30/2023 9:40,United States,Seattle,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Research Associate,Bachelors or Equivalent,None,,4,100000,N/A (no overtime/salaried),10000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
3/31/2023 15:41,United States,Boston,Industrial Biotech,Amgen,Public,5000+,Associate Scientist,Masters or Equivalent,None,,5,90500,1.5x base,10%,3500,,,5% match plus extra 5% no matter what,,3.90%,,
3/31/2023 15:56,United States,Boston,Industrial Biotech,Amgen,Public,5000+,Associate,Bachelors or Equivalent,None,Upstream PD,1,75000,1.5x base,8%,2500,,,100% first 5% and 5% extra for total 15%,,4%,,Definitely one of the lower paying biotech's but a great learning environment 
4/10/2023 23:37,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Scientist,Masters or Equivalent,None,,11,180000,N/A (no overtime/salaried),25000,Options,10000,,,,7,,
5/2/2023 21:21,United States,San Diego ,Industrial Biotech,Prefer not to say,Private,5000+,Bioinformatics manager,Masters or Equivalent,None,,13,197600,N/A (no overtime/salaried),10,15000,0,,,,4,,
5/19/2023 19:29,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Associate Scientist II,Bachelors or Equivalent,None,2D and 3D platform development ,1,92000,N/A (no overtime/salaried),5000,Not Applicable/None,5000,Can purchase 3000 shares per 4 years ,,,Have not been long enough to have an annual yearly raise,,
5/20/2023 17:11,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist II,Masters or Equivalent,None,Analytical Position managing one RA,14,125500,N/A (no overtime/salaried),12500,Not Applicable/None,,"17000 one year cliff, vesting 4 years","401k, no match",,3,,
5/22/2023 18:09,United States,Boston,Industrial Biotech,Codiak Biosciences,Public,50-200,Senior Scientist,Masters or Equivalent,None,Downstream PD,12,178500,N/A (no overtime/salaried),17.50%,~300 shares / yr,,,,,4.50%,,
5/28/2023 18:07,United States,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Staff Scientist,PhD or Equivalent,None,"Staff Scientist, Computational Biology",6,188000,N/A (no overtime/salaried),10%,Not Applicable/None,,Roughly 0.1% of the value of the company as one of the first 20 employees,401K match,"Free health insurance, HSA, etc",5%,,It has been a fantastic experience
5/30/2023 21:18,United States,Bay Area,Industrial Biotech,Prefer not to say,Subsidiary,50-200,Associate Scientist ,PhD or Equivalent,None,,1,120000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"401k match 6%, corporate goal bonus 10% salary",,Have not been long enough to have an annual yearly raise,,
5/31/2023 2:27,United States,Los Angeles,Industrial Biotech,Amgen,Private,5000+,Scientist,PhD or Equivalent,None,"Sr Scientist, analytical development for new drugs",8,120000,N/A (no overtime/salaried),Not Applicable/None,10000,,,,,2,,
6/14/2023 13:05,United States,Remote,Industrial Biotech,Prefer not to say,Public,1000-5000,Senior engineer,Bachelors or Equivalent,None,Senior bioprocess engineer MSAT,9,130000,N/A (no overtime/salaried),19500,Not Applicable/None,20000,,4% match ,,Have not been long enough to have an annual yearly raise,,
6/19/2023 23:45,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,Bachelors or Equivalent,None,,12,198000,1.5x base,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
7/3/2023 12:13,United States,San Diego,Industrial Biotech,Prefer not to say,Start-up,1-50,Associate Director,PhD or Equivalent,None,Manage technical operation/CMC,7,180000,N/A (no overtime/salaried),27000,Not Applicable/None,0,,,,Have not been long enough to have an annual yearly raise,,
7/8/2023 22:37,United States,Salt Lake City,Industrial Biotech,Recursion,Public,200-1000,Senior Scientist II,PhD or Equivalent,None,"Coordinate cross-functional team work, manage 3 junior scientists",4,140000,N/A (no overtime/salaried),"14,000-35,000",65000,10000,ESPP,401k: 4% match + 1500/yr,"Medical/dental/vision fully covered, good coverage",Company/Institution does not have annual yearly raise,,10-Sep
7/26/2023 1:46,United States,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist III,PhD or Equivalent,None,,2,150000,N/A (no overtime/salaried),18000,1500,20000,RSU & Options,Up to $5K match for 401k,,5,,
8/12/2023 10:50,United States,Bay Area,Industrial Biotech,Myriad Genetics,Public,1000-5000,Scientist,Masters or Equivalent,None,Manufacturing,3,80000,10 hours OT a week,3000,Not Applicable/None,300,15% discounted stock,4% match 401k,$180/month single BCBS Copay plan,Company/Institution does not have annual yearly raise,,
8/19/2023 23:36,United States,Research Triangle,Industrial Biotech,Novozymes,Public,5000+,Scientist,PhD or Equivalent,None,,4,105000,N/A (no overtime/salaried),5000,Not Applicable/None,5000,,401k match 9% total,good healthcare,Have not been long enough to have an annual yearly raise,,
9/5/2023 23:02,United States,philadelphia ,Industrial Biotech,Frontage Labs,Public,1000-5000,Scientist 1,Masters or Equivalent,None,,1,60000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,6%,,Have not been long enough to have an annual yearly raise,,bad
9/21/2023 10:33,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Research Associate II,Bachelors or Equivalent,None,,2,77000,N/A (no overtime/salaried),2000,Not Applicable/None,3000,25% vesting a year,,,8%,,
9/28/2023 23:10,United States,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist I,PhD or Equivalent,None,"R&D, fresh PhD",0,130000,N/A (no overtime/salaried),12%,Not Applicable/None,2000,"RSU, stock options, ESPP","50% match up to $7,000",Full,Have not been long enough to have an annual yearly raise,15000,
10/8/2023 11:05,United States,San Diego,Industrial Biotech,Prefer not to say,Private,1000-5000,Scientist II,PhD or Equivalent,None,Product Development GMP ,6,110000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5000,5% discount,,,Have not been long enough to have an annual yearly raise,,
10/9/2023 1:11,United States,bay area,Industrial Biotech,Prefer not to say,Private,200-1000,senior research associate,Bachelors or Equivalent,None,,3,90000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/11/2023 20:00,United States,San Francisco,Industrial Biotech,Huue Bio,Start-up,1-50,"Senior Manager, Strategy and Operations",Masters or Equivalent,None,"Acted as Chief of Staff for CEO in company of 20 people; managed product strategy, marketing, business operations and strategic initiatives. ",6,150000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,"Got 0.15% of stock, approx 85K shares",401K available,,Have not been long enough to have an annual yearly raise,,
10/12/2023 21:55,United States,Cleveland,Industrial Biotech,Prefer not to say,Start-up,1-50,Biomanufacturing Lab tech,Bachelors or Equivalent,None,Cell culture + Qc Lab tech in Design Transfer,0,42000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,none,4.5% 401k match,85% employer cover,Have not been long enough to have an annual yearly raise,0,"Executives are not great but the people you see on a daily basis are amazing. This means that you will have a fun time working, and doing day-to-day stuff but will be unhappy with the compensation and the appreciation the management shows will be a problem. Thes management is also unwilling to recognize that the employment does not pay enough as well as puts more pressure on the already insufficient staff"
10/22/2023 14:24,United States,Bay Area,Industrial Biotech,Bio-Rad Laboratories,Private,5000+,QC Specialist III,Bachelors or Equivalent,None,,10,80000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,,,Company/Institution does not have annual yearly raise,,
10/24/2023 20:11,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Principal Research Associate,Bachelors or Equivalent,None,,6,115000,N/A (no overtime/salaried),10%,Not Applicable/None,,,,,7%,,
10/27/2023 8:05,United States,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist II,PhD or Equivalent,None,,6,151000,N/A (no overtime/salaried),20%,Not Applicable/None,10000,,3% match,,3%,,
10/27/2023 9:29,United States,Research Triangle ,Industrial Biotech,Bioagilytix,Private,200-1000,Scientist ,Bachelors or Equivalent,None,"Scientist- responsible for assay development, Validation, and sample analysis testing for ADA and PK studies. Interfaces with sponsors on weekly calls, but no direct reports. ",5,94000,N/A (no overtime/salaried),9000,Not Applicable/None,,NA,4% match 401k,Blue cross blue shield NC; PPO spouse+ind less than 200/Mo. quite good coverage: ,3,7500,"3/5, culture has worsened over the past year with new upper management. Individual managers vary greatly impacting how pleasant it is to work there. "
10/27/2023 18:09,United States,Los Angeles,Industrial Biotech,Invizyne,Start-up,1-50,Research Associate II,Masters or Equivalent,None,Testing proof-of-concept of biochemical assays for production of proteins and chemicals using renewable resources,1,67500,N/A (no overtime/salaried),Not Applicable/None,1000,2500,Purchase options,4% match,Full health insurance coverage with many options,Have not been long enough to have an annual yearly raise,2500,
10/30/2023 10:18,United States,Miami,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Director,Bachelors or Equivalent,None,"Patient Recruitment, Clinical Operations",10,177000,N/A (no overtime/salaried),20%,"15,500",8000,,"401k match up to $6,000",BCBS with high deductible. $2500 annual contribution to HSA,Have not been long enough to have an annual yearly raise,,
12/10/2023 20:31,United States,great lakes / Midwest,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Production chemist,Associate’s Degree or Equivalent,None,,7,65400,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,"Premium-free HMO health insurance, low-deductible",Company/Institution does not have annual yearly raise,,
12/13/2023 20:36,United States,Boston,Industrial Biotech,Abbvie,Private,5000+,Postdoc,PhD or Equivalent,None,,1,90000,N/A (no overtime/salaried),8%,Not Applicable/None,15000,,,,Have not been long enough to have an annual yearly raise,,
3/30/2023 9:48,United States ,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,Masters or Equivalent,None,Bench scientist ,8,138000,N/A (no overtime/salaried),10%,Not Applicable/None,,None. Private company ,10% 401k match vested over 4 years,90% coverage of PPO premium ,Have not been long enough to have an annual yearly raise,,
4/6/2023 9:06,United States ,Philadelphia,Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,R&D scientist - cell therapy,2,120000,N/A (no overtime/salaried),24000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
10/27/2023 14:13,United States ,Seattle,Industrial Biotech,Prefer not to say,Public,200-1000,Principal Scientist,PhD or Equivalent,None,Computational biologist ,20,200000,N/A (no overtime/salaried),15%,5000,20000,,,,5%,,
11/27/2023 20:34,United States ,Boston,Industrial Biotech,Takeda,Public,5000+,Senior Operational excellence Specialist ,Bachelors or Equivalent,None,"Project manage, support and implement improvements for MFG",3,115000,N/A (no overtime/salaried),11500,Not Applicable/None,,,401k and additional employer contributions ,,2,,
3/29/2023 15:48,United States,Bay Area,Informatics,Prefer not to say,Start-up,200-1000,Program Manager,PhD or Equivalent,PMP,,5,169900,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,Approx. 120k RSUs over 4 year period,,Full healthcare costs paid by employer ,6%,,
6/23/2023 0:04,United States,San Diego,Life Sciences Tools Company,Prefer not to say,Start-up,50-200,"Director, Business Development",Masters or Equivalent,None,"Build strategic partnerships with big pharma, biotech and pathology companies",7,190000,N/A (no overtime/salaried),100000,25000,,,,,Have not been long enough to have an annual yearly raise,,
3/29/2023 6:09,America ,Philadelphia ,Medical Devices,Prefer not to say,Subsidiary,200-1000,Bioprocessing Coordinator ,Associate’s Degree or Equivalent,None,Blend of scientist and project coordination ,16,100000,N/A (no overtime/salaried),7500,113000,,,7% match,HMO $400 a month for my family of 4. Deductible low 10/20/100 copay. Dental and vision included ,3%,,
3/30/2023 5:46,Australia ,Melbourne ,Medical Devices,Nutromics ,Start-up,1-50,Associate Process Scientist ,Bachelors or Equivalent,None,,2,85000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
9/26/2023 11:57,Portugal,Porto,Medical Devices,Prefer not to say,Private,1-50,Software engineer,Masters or Equivalent,None,,1,12000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
7/21/2023 22:08,Sweden,Uppsala,Medical Devices,Thermo fisher scientific,Public,5000+,Laboratory technician,Bachelors or Equivalent,None,,0,32565,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,,,,Have not been long enough to have an annual yearly raise,,
3/29/2023 8:56,United States,Boston,Medical Devices,Prefer not to say,Private,1-50,Research Associate,Bachelors or Equivalent,None,,0,75000,N/A (no overtime/salaried),2000,Not Applicable/None,,,4% 401k match,Not sure,Have not been long enough to have an annual yearly raise,2500,
3/29/2023 9:33,United States,Philadelphia,Medical Devices,Prefer not to say,Start-up,50-200,Medical Education Admin,Bachelors or Equivalent,None,,1,62400,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
3/29/2023 10:41,United States,San Francisco Bay Area,Medical Devices,Prefer not to say,Public,5000+,Associate Scientist,Masters or Equivalent,None,,1,97000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
5/1/2023 22:29,United States,Boston,Medical Devices,Abbott,Public,5000+,Scientist,Bachelors or Equivalent,PMP,R&D Scientist 1,3,105000,N/A (no overtime/salaried),12%,Not Applicable/None,0,Vested options over 4 years,401k matching,,3%,14000,"80 hour weeks, but outstanding scientists"
5/5/2023 23:29,United States,Los Angeles,Medical Devices,Agilent Technologies ,Public,5000+,Senior Scientist,Bachelors or Equivalent,None,"Scientist for manufacturing. Work on development, validation of process, test method, software, etc",16,130000,N/A (no overtime/salaried),15000,Not Applicable/None,,Stock r warded based on merit,4% 401k match,None ,4,,
7/20/2023 23:43,United States,Bay Area,Medical Devices,Prefer not to say,Start-up,200-1000,"Director, TPM",Bachelors or Equivalent,None,,12,250000,N/A (no overtime/salaried),50000,Not Applicable/None,20000,50000 options,401k no match,Full coverage no cost,10,,
3/29/2023 10:16,United States ,San Diego ,Medical Devices,Quidel,Public,1000-5000,Scientist ,PhD or Equivalent,None,Assay Development,2,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,10000,ESPP,401k 50% match up to 6%,Unknown ,Have not been long enough to have an annual yearly raise,,
