Timestamp,What country do you work in?,Where is the closest major city or hub?,Where are you located?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,What degrees do you have? ,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity/Stock Option,Compensation - Most recent annual yearly raise (%),Compensation - Sign on Bonus Value,Compensation - Sign on Stock/Equity Options,Compensation - Retirement Benefits (free text),Compensation - Retirement Percent Match (free text),Compensation - Healthcare Benefits (free text),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review,"[Optional] Work Life Balance - On average, how many hours do you work per week",Survey Feedback
1/19/2024 0:49:20,,,West Coast (California & Pacific Northwest),Biotech Equipment,Thermo Fisher Scientific,Public,5000+,Biosciences Account Manager,Bachelors or Equivalent,None,,4,103000,N/A (no overtime/salaried),44000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,4% 401k match,,$500 HSA employer contribution,"Dependent on distance, marriage status, and home ownership status",,36 - 40,
1/20/2024 1:15:01,,,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Private,50-200,Senior Research Associate,Bachelors or Equivalent,None,SRA mAb downstream and conjugation process development and tech transfer ,7,98750,N/A (no overtime/salaried),4750,25000,3,0,10000,3% 401k match ,,Employee pays $0 out of pocket. Spouse/children are covered 80% by employer ,N/A,N/A,30 - 35,
1/20/2024 15:13:36,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Regeneron,Private,5000+,Biotech Production Specialist,Bachelors or Equivalent,None,Downstream Manufacturing,3,66000,1.5x,8%,5 stock options,8%,0,15 restricted stock,401k,,$60 CDPH,10000,"Highly lead dependent, have had leads that made me work 50+ hours a week. and a lead who would try to make sure we would at max 40. Not my favorite with the leads who would over work us.",41 - 45,"Good, but I just want company compensation mostly for results and hours worked."
1/20/2024 16:14:36,,,Germany,Big Pharmaceuticals,Prefer not to say,Public,5000+,MES Engineer,Masters or Equivalent,None,"Working with PLC, MES, ERP",2,58000,N/A (no overtime/salaried),9000,Not Applicable/None,4,,,N/A,,,,,41 - 45,
1/20/2024 23:26:30,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Resilience,Private,1000-5000,Research Associate II,Masters or Equivalent,None,Downstream process development,2,84000,N/A (no overtime/salaried),Up to 10% base,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,0,6% base full match,,,,,41 - 45,
1/20/2024 23:34:14,,,"San Diego, CA",Medical/Health Devices,Prefer not to say,Public,5000+,Staff Scientist I,PhD or Equivalent,None,,7,141000,N/A (no overtime/salaried),169200,Not Applicable/None,3,20000,,6,,,,,41 - 45,
1/21/2024 7:07:56,,,West Coast (California & Pacific Northwest),Regulatory Affairs,Prefer not to say,Public,5000+,Analyst ,Masters or Equivalent,None,,3,83500,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,2,0,0,401k match 4%,,,,"Work with great people, fantastic supervisor, low stress, no complaints ",Less than 30,
1/21/2024 21:47:39,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,BMS,Public,5000+,Associate ,Bachelors or Equivalent,None,,2,77000,N/A (no overtime/salaried),3500,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,,6% match ,,,,,36 - 40,
1/22/2024 3:59:00,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Pfizer,Private,5000+,Sr manager,Masters or Equivalent,None,Sr manager procurement ,17,189000,N/A (no overtime/salaried),17.5,10-15k,4.5,0,None,Pension  for $16k contributed to 401k,,High deductible HSA,None,Dead growth feel like it’s a government job,Less than 30,"Good, you can add what the percentage of target bonus received annually (80%, 100%, 150%, 200% etc)"
1/22/2024 10:28:00,,,"Midwest (From OH to KS, North to ND)",Industrial Biotech,Prefer not to say,Start-up,1-50,Lab Tech,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,,0,42000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,0,"401k Match,",, 80% insurance,0,,Less than 30,
1/22/2024 12:54:00,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,1-50,RA,Bachelors or Equivalent,None,,2,85000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,6%,0,NA,NA,,NA,,,Less than 30,
1/22/2024 14:54:35,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Vertex,Private,1000-5000,Sr. Manager,PhD or Equivalent,None,Sr Manager - Analytical,10,160000,N/A (no overtime/salaried),25600,50000,8%,10000,0,Partial match up to 6%,,,,Great company,41 - 45,
1/22/2024 15:53:29,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Big Pharmaceuticals,Pfizer,Public,5000+,QA Manager,Bachelors or Equivalent,None,Individual Contributor Role,10,115000,N/A (no overtime/salaried),15000,10000,4-5%,,,9.5 to 13.5% pending age and years,,,,,41 - 45,
1/22/2024 20:06:51,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Scientist (R3),PhD or Equivalent,None,Protein engineering,1,141000,N/A (no overtime/salaried),21000,10000,4,20000,,6% 401k,,,,,36 - 40,
1/22/2024 22:15:53,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Start-up,50-200,Research Associate,Bachelors or Equivalent,None,,2,75000,N/A (no overtime/salaried),7500,Not Applicable/None,3,0,7000 shares,401k (no matching),,Waiver - $200/month,,,36 - 40,
1/22/2024 22:29:24,,,Canada,Industrial Biotech,Prefer not to say,Public,200-1000,Research Technician ,Bachelors or Equivalent,None,,1,60000,N/A (no overtime/salaried),3000,20000,16%,0,40000,6%,,Comprehensive,,,41 - 45,
1/23/2024 17:40:07,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,Clinical Scientist II,PhD or Equivalent,None,,4,203000,N/A (no overtime/salaried),28500,Not Applicable/None,3,,,401k match of 10%,,,,Love my job and company.,30 - 35,
1/24/2024 13:56:24,,,"South & Mountain West (TX to AZ, North to MT)",Industrial Biotech,Prefer not to say,Public,200-1000,Operational Quality Systems Specialist I,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,,2,70000,1.5x base,7000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k match 3%,,,,,36 - 40,
1/24/2024 19:42:29,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,50-200,Scientist 1,PhD or Equivalent,None,,0,110000,N/A (no overtime/salaried),10%,6500 shares,Have not been long enough to have an annual yearly raise,5000,N/A,3%,,,,,36 - 40,
1/24/2024 20:47:47,,,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Scientist ,PhD or Equivalent,None,,8,117000,N/A (no overtime/salaried),16000,6000,5,,,401k,,,,,36 - 40,
1/24/2024 21:16:15,,,"New England (MA, CT, RI, NH, VT, ME)",cell therapy,Prefer not to say,Private,50-200,Scientist II,PhD or Equivalent,None,,2,130000,N/A (no overtime/salaried),12.50%,Not Applicable/None,Have not been long enough to have an annual yearly raise,10000,,401k 4% match,,"Medical PPO, dental $1500, vision",,"Promising technology with a viable path to the clinic. The management is just poor. Fresh out of academia, narcissists, expecting people to work overtime and weekends, rarely approve PTO. CSO came from the same lab. She was a postdoc and found herself a CSO overnight, and it shows. ",46 - 50,
1/25/2024 4:39:34,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,"Senior Director, Strategy and Operations","Masters or Equivalent, PhD or Equivalent",None,,10,265000,N/A (no overtime/salaried),66000,100000,3,60000,40000 Shares at ~$5/share at the time of hire,"$5K flat 401k match, $160 monthly wellness/electronics stipend",,$150 monthly HSA match: decent medical options via Kaiser,25000,"Great culture, but stock price has been crushed",41 - 45,
1/25/2024 13:08:58,,,"DC Metro Area (DC, VA, MD, DE)",Contract Testing Organization,Prefer not to say,Public,5000+,Senior Quality Specialist,Bachelors or Equivalent,None,Sr. Quality Specialist - Drive Quality improvement initiatives and maintain inspection readiness,7,88000,N/A (no overtime/salaried),7040,Not Applicable/None,4,4000,,401k match 100% of contribution up to 6%,,BCBS MA,,"Great company, great benefits, don't hate my job",30 - 35,
1/25/2024 14:23:56,,,Sweden,Industrial Biotech,Cytiva,Private,5000+,Senior Research Engineer,Masters or Equivalent,None,"Senior Research Engineer - plan, perform and execute laboratory experiments to either promote current products or develop new products.",7,53600,"1.5x base weekdays, 2x weekends and late evenings (after 20.00)",5% of annual salary,Not Applicable/None,3.20%,,,According to swedish ITP 1 plan.,,According to swedish labour law. Site has on-site gym and sports centre. Extensive sports and lesuire activity associations.,,"Good campny with good benefits, competitive swedish salaries, flex time, ca 55 hours of yearly shortening of work time, paid leave for holiday ""in-between"" days, 25 days vacation. ",36 - 40,Nice survey! Maybe clarify currency for salary
1/25/2024 20:09:35,,,Canada,Contract Research Organization,Prefer not to say,Private,1-50,Sr. Scientist,PhD or Equivalent,None,"Sr. Scientist - Carry out client-based projects on early and late-phase drug candidates (e.g. polymorph/salt screening, crystallization developments). Mentor 2 junior scientists",5,91000,N/A (no overtime/salaried),"$8,000",Not Applicable/None,6 %,,,RRSP match up to $250 per month.,,Full cost of health insurance (Blue Cross) covered by employee,1500,"I would say 3/5. The works is fantastic and we really are making a difference. However, management is out of touch with what the lab scientists do. There is always a ""don't blame me, you're the scientist"" mentality despite the scientists continuously having to justify why we do anything and take suggestions (with or without logic) and do them.",36 - 40,
1/25/2024 21:11:26,,,"Pharma Central (NY, NJ, PA)",Medical/Health Devices,Siemens Healthineers,Public,5000+,Biochemist II,PhD or Equivalent,None,,2,103900,N/A (no overtime/salaried),4500,Not Applicable/None,4.5,5000,,401K match 6%,,,,,30 - 35,
1/25/2024 22:30:35,,,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,AGC Biologics,Private,1000-5000,Manufacturing Associate III,Bachelors or Equivalent,None,Upstream Manufacturing,3,89000,1.5x base,2500,Not Applicable/None,3%,3000,None,401K 6% match ,,,None,3.5,36 - 40,
1/26/2024 19:29:44,,,West Coast (California & Pacific Northwest),Diagnostics,Prefer not to say,Public,1000-5000,Senior computational scientist,PhD or Equivalent,None,Bioinformatics dev in r&d,6,180500,N/A (no overtime/salaried),12000,6000,Company/Institution does not have annual yearly raise,,,100% March to 8%,,,,,36 - 40,
1/26/2024 19:31:17,,,West Coast (California & Pacific Northwest),Life Sciences Software,Benchling,Start-up,200-1000,Senior Product Manager,PhD or Equivalent,None,Senior Product Manager,6,205000,N/A (no overtime/salaried),20000,75000,3%,30000,300000,401k Match,,"free health, gym membership, HSA contribution",0,,51 - 60,
1/26/2024 20:59:47,,,Australia,Big Pharmaceuticals,Pfizer,Public,5000+,Quality Associate,"Bachelors or Equivalent, Masters or Equivalent",None,,1,75000,2x base,5000,Not Applicable/None,4%,,,11%,,,,,36 - 40,
1/26/2024 21:02:13,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Subsidiary,200-1000,Scientist II,PhD or Equivalent,None,,4,145000,N/A (no overtime/salaried),20000,25000,4,,,5% 401k match,,HSA plan and generous contribution ,,,,
1/27/2024 6:05:44,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,1000-5000,Senior Scientist,Masters or Equivalent,None,,10,140000,N/A (no overtime/salaried),14000,Not Applicable/None,2,,,5,,,,,,
1/27/2024 15:40:57,,,West Coast (California & Pacific Northwest),Startup,Prefer not to say,Start-up,1-50,Associate Director,PhD or Equivalent,None,,10,180000,N/A (no overtime/salaried),18000,Not Applicable/None,3,,,401k match 3%,,,,,41 - 45,
1/27/2024 23:02:59,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Manager Quality Systems,Bachelors or Equivalent,ASQ CQA,,9,150000,N/A (no overtime/salaried),15,Not Applicable/None,Have not been long enough to have an annual yearly raise,10000,"30,000 Stock Options (Private)",401K - 1% match,,,,,46 - 50,
1/28/2024 2:07:13,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,5000+,Application Development Scientist,PhD or Equivalent,None,Application Scientist - LC/MS ,6,190000,N/A (no overtime/salaried),10%,Not Applicable/None,Have not been long enough to have an annual yearly raise,15000,,"6% 401k match, 15% discount on ESPP purchase twice per year",,,,,36 - 40,
1/28/2024 16:05:00,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Prefer not to say,Private,50-200,Manufacturing Associate,Bachelors or Equivalent,None,,1,58000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,3% 401k match,,,,,41 - 45,
1/28/2024 19:16:48,,,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Public,5000+,Sr Scientist,Masters or Equivalent,None,,10,103000,N/A (no overtime/salaried),8000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k match,,,,A+,36 - 40,
1/28/2024 21:03:36,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,50-200,Associate Scientist I,Bachelors or Equivalent,None,"Hit discovery, HTS",1,66300,N/A (no overtime/salaried),5%,Not Applicable/None,2%,5000,Option to purchase shares,"Match 4% of traditional 401k, offers Roth 401k",,HSA offered with high deductible plan. Company contributes 50% of deductible. Premiums around $40 monthly for medical/dental/vision for one person.,,,30 - 35,
1/28/2024 21:34:30,,,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Thermo Fisher Scientific,Public,5000+,Lead QA Technician,Bachelors or Equivalent,"ASQ CSSGB, CQA",,5,80000,1.5,2500,Not Applicable/None,3,,,401k match,,,,,41 - 45,
1/29/2024 12:06:11,,,"New England (MA, CT, RI, NH, VT, ME)",Regulatory Affairs,Prefer not to say,Public,1000-5000,Regulatory strategy post-doc,PhD or Equivalent,None,1-year post doctoral fellowship in global regulatory affairs supporting company NDA and IND submission ,0,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,0,0,None,,$500 HSA,,Great time off and benefits. Clear path from fellowship to full time employment ,36 - 40,
1/29/2024 12:16:38,,,"DC Metro Area (DC, VA, MD, DE)",Industrial Biotech,Prefer not to say,Private,1000-5000,QC Analyst II,Bachelors or Equivalent,None,,2,62000,1.5x base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k 50% match up to 6% salary,,,,,36 - 40,
1/29/2024 22:56:01,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,5000+,QC Specialist,Bachelors or Equivalent,None,Stability,6,108000,N/A (no overtime/salaried),12%,Not Applicable/None,5%,,,401k match 10%,,,,,41 - 45,
1/30/2024 8:31:04,,,Switzerland,Big Pharmaceuticals,Prefer not to say,Public,5000+,Director,Masters or Equivalent,None,,12,210000,N/A (no overtime/salaried),45000,45000,2,,,pension,,,,,36 - 40,
1/30/2024 9:21:53,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Start-up,1-50,Scientist,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,,4,135000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0,".15% equity, vesting over 4 years","100% match first 3%, 50% match next 2%",,"No deductible, $6k family oop max, preloaded HRA card with $4500",,"10/10, fantastic",30 - 35,
1/30/2024 11:06:04,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Takeda,Public,5000+,Associate Director Medical Communications,PhD or Equivalent,None,Own medical communications strategy and operations for multiple products in given therapeutic area,8,185000,N/A (no overtime/salaried),40000,40000,Have not been long enough to have an annual yearly raise,21000,21%,401 Match 4%,,"Medical, Dental, Vision, HSA, Life and Disability, Accident ",,"It's a big machine, people are ok to poor colleagues. I have to document everything for my own safety with leadership. No free food (unlike previous companies). Office outside of Boston feels like I'm in Office Space",36 - 40,
1/30/2024 12:02:49,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,50-200,Research Associate II,Bachelors or Equivalent,None,Upstream PD,2,100000,N/A (no overtime/salaried),8000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,No match,,,,,36 - 40,
1/30/2024 13:02:51,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,200-1000,Associate engineer ll,Bachelors or Equivalent,None,,3,93500,N/A (no overtime/salaried),13000,Not Applicable/None,5,,Grants over 4 years 5k stock options at a strike price when first started ,6% match ,,128 a month for me my wife and son ppo,,,30 - 35,
1/30/2024 13:09:04,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,200-1000,Research Associate,Bachelors or Equivalent,None,,4,80000,N/A (no overtime/salaried),1500,2000,10,0,RSU,401k match $4000,,Anthem,,,,
1/30/2024 19:05:06,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,UCSF,Academia/College/Universities,5000+,Researcher,PhD or Equivalent,None,"Principal Scientist equivalent - manage 1.5 technicians, half bench half management. Biomarker/drug target",5,140000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5,0,0,8% 401k match,,250/month healthcare premium,0,,30 - 35,
1/30/2024 20:12:10,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Research Organization,Prefer not to say,Private,1-50,Associate Scientist II,Bachelors or Equivalent,None,,3,80000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,4,,,"3% match, 4% profit sharing",,,,,51 - 60,
1/31/2024 1:46:23,,,Belgium,Big Pharmaceuticals,Pfizer,Public,5000+,Government Affairs Manager,Masters or Equivalent,None,,4,75000,N/A (no overtime/salaried),3000,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,Top-up plan to existing Belgian social security + retirement funding,,,,,36 - 40,
1/31/2024 13:55:24,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Private,50-200,Senior Scientist ,PhD or Equivalent,None,,10,160000,N/A (no overtime/salaried),20000,Not Applicable/None,3,10000,,4% 401k match ,,,,,41 - 45,
1/31/2024 22:22:24,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,GSK,Public,5000+,Expert Scientist,Bachelors or Equivalent,None,,8,134640,N/A (no overtime/salaried),"16,156.80",Not Applicable/None,Have not been long enough to have an annual yearly raise,,,"7% GSK Core Contribution regardless of whether you choose to contribute to the 401(k) plus an additional match of up to 4%. Total GSK contribution up to 11%, dollar-for-dollar.",,,,,41 - 45,
2/1/2024 8:55:35,,,United Kingdom and Ireland,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Group Leader,Masters or Equivalent,None,,23,85000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5,,,"pension match +2%, up to 12%",,,,,36 - 40,
2/1/2024 19:04:22,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,5000+,Scientist II,Masters or Equivalent,None,One level below new PhD grad,2,110000,N/A (no overtime/salaried),11000,Stock discount program,3%,,,3% 401k match,,,,,36 - 40,
2/1/2024 20:34:58,,,"DC Metro Area (DC, VA, MD, DE)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Director of insight ms and analytics,PhD or Equivalent,None,,10,190000,N/A (no overtime/salaried),38000,38000,Have not been long enough to have an annual yearly raise,45000,,6% 401k,,,,,,
2/1/2024 22:23:07,,,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Eli Lilly ,Public,5000+,Sr. Principal Associate,Masters or Equivalent,None,,10,128000,N/A (no overtime/salaried),19200,8000,5,,,"6% 401k match, has pension",,"$60 bi weekly for self medical, vision, dental. $800 HSA contribution. ",,,46 - 50,
2/2/2024 0:26:12,,,"South & Mountain West (TX to AZ, North to MT)",Chemical,Prefer not to say,Public,50-200,Research Associate,Bachelors or Equivalent,None,,3,82000,N/A (no overtime/salaried),8200,10000,Have not been long enough to have an annual yearly raise,,,4% 401k match,,"Full healthcare, anthem, free",,,36 - 40,
2/2/2024 1:41:43,,,Canada,Biotech Equipment,STEMCELL,Private,1000-5000,Marketing,Masters or Equivalent,None,,1,62000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,RRSP match,,"Standard benefits, effective immediately upon hiring",,"Company vision and culture overall positive, but marketing specifically not a great environment. Limited mobility and nepotism",Less than 30,
2/2/2024 7:01:23,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Pfizer,Public,5000+,Scientist,Bachelors or Equivalent,None,,3,96890,N/A (no overtime/salaried),7266,Not Applicable/None,4%,5000,,4.5% match,,,,Lol terrible,36 - 40,
2/2/2024 9:31:14,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist II,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,,8,150000,N/A (no overtime/salaried),15000,Not Applicable/None,Have not been long enough to have an annual yearly raise,5000,25000 options for pre-ipo company,None ,,Ppo ~$100/month,,,41 - 45,
2/2/2024 9:38:05,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,1-50,Associate Director ,PhD or Equivalent,None,Manage analytical development activities. 1x direct report.,8,170000,N/A (no overtime/salaried),25500,"12,500",Have not been long enough to have an annual yearly raise,,Options granted at sign-on with four year vesting and one year cliff.,401k with 1:1 matching up to 4%,,,,,46 - 50,
2/2/2024 14:20:11,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Ultragenyx,Private,1000-5000,"Research Associate II, Contract",Masters or Equivalent,None,"Research Associate II, Contract - Conduct in vivo pharmacological and toxicological studies on rodent models ",7,72000,1.5x,Not Applicable/None,Not Applicable/None,5%,0,0,0,,The American Worker,0,,36 - 40,
2/2/2024 17:57:50,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,QA Specialist II,Bachelors or Equivalent,None,"Individual contributor- lot disposition, quality systems",8,109000,N/A (no overtime/salaried),10000,15000,Have not been long enough to have an annual yearly raise,0,15000,100% match up to 15k,,"Kaiser, Anthem",,,36 - 40,
2/2/2024 20:30:42,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Private,200-1000,Senior Regulatory Manager,Bachelors or Equivalent,CCRP,Senior Reg Manager handling global regulatory strategy,8,171000,N/A (no overtime/salaried),15%,$40K,10.50%,10000,RSUs and ISOs. Vesting period 4 years,5K 401K match. Health/wellness and phone stipend,,Company pays 99% of health premiums,,,36 - 40,
2/4/2024 16:23:08,,,West Coast (California & Pacific Northwest),Food,Prefer not to say,Start-up,50-200,Senior Product Manager,Bachelors or Equivalent,None,,8,152250,N/A (no overtime/salaried),Not Applicable/None,12095,1.50%,,,401k no match,,100% insurance premium paid for by employer,,,36 - 40,
2/4/2024 22:44:30,,,West Coast (California & Pacific Northwest),Contract Research Organization,Prefer not to say,Private,200-1000,QC Associate 1 Microbio,Bachelors or Equivalent,None,,1,77000,1.5 base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,401k match 6%,,,,,36 - 40,
2/5/2024 9:37:41,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,Principal Scientist ,PhD or Equivalent,None,"Principal Scientist, med chem. Lead a drug discovery project",11,205000,N/A (no overtime/salaried),25000,114000,5,50000,"Options + RSUs when starting, plus a retention bonus as the company was recently acquired ",3% 401k match,,Excellent coverage,,,36 - 40,
2/5/2024 11:57:17,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Director ,PharmD or Equivalent,None,PV,20,250000,N/A (no overtime/salaried),57000,62000,9300,0,Sign on shares alreafy paid out to 1M+ after buyout,401k 6% match plus annual contribution from employer,,HDHP w/ HSA available ,0,Great so far,36 - 40,
2/5/2024 20:26:44,,,"Midwest (From OH to KS, North to ND)",Big Pharmaceuticals,Prefer not to say,Public,200-1000,Senior Manager,Bachelors or Equivalent,None,Analytical Development,14,162500,N/A (no overtime/salaried),25000,50000,5%,0,100000,4% match,,"Max OOP $9000, premium $6k/yr",,,36 - 40,
2/5/2024 21:32:27,,,"DC Metro Area (DC, VA, MD, DE)",Contract Research Organization,Thermo Fisher Scientific,Public,200-1000,Assistant Scientist,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,,1,42640,1.5x base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,6% 401K match,,,,,36 - 40,
2/5/2024 23:24:53,,,West Coast (California & Pacific Northwest),Dx and Tx,Prefer not to say,Public,50-200,Senior Manager,Bachelors or Equivalent,None,Sr manager running a Dx assay development group with 3 reports,15,175000,N/A (no overtime/salaried),25500,Not Applicable/None,3-7% ,,~50000 shares,Up to 5% 401k match,,"1k health/fitness stipend, free lunches and dinners, 3k education stipend, health insurance premiums paid for by company, and 10 free sessions with modern health (online therapy). ",,"Great company, great tech, good management, best benefits",41 - 45,Cool survey 
2/6/2024 10:53:08,,,West Coast (California & Pacific Northwest),Contract Research Organization,Bioagilytix ,Private,1000-5000,Manager,Bachelors or Equivalent,None,I am a study director/PI for bioanalytical projects for a CRO. I manage four junior scientists.,6,139000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3,,,401k with up to 5% matching,,High deductible plan with employer HSA contributions ,,,,
2/6/2024 11:50:07,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Regeneron ,Public,5000+,Scientist ,Bachelors or Equivalent,None,Investigations scientist ,6,93000,N/A (no overtime/salaried),10000,Extremely variable ,3.5,0,60 options ,5% 401k match ,,,,3/5 ,36 - 40,
2/7/2024 8:13:03,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Flagship Co,Private,50-200,Associate Director,Masters or Equivalent,None,Purification Development,14,192000,N/A (no overtime/salaried),15% x corp. multiplier,Not Applicable/None,Have not been long enough to have an annual yearly raise,10000,35000,None,,FSP Plan (Good),,,51 - 60,
2/7/2024 13:42:36,,,"New England (MA, CT, RI, NH, VT, ME)",Biotech Equipment,PhenomeX,Public,200-1000,Scientist,Masters or Equivalent,None,,7,92000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,10%,,,3% 401K match,,,,,41 - 45,
2/7/2024 22:36:36,,,West Coast (California & Pacific Northwest),Small biotech,Prefer not to say,Private,50-200,Specialist,PharmD or Equivalent,None,,2,100000,N/A (no overtime/salaried),10000,Not Applicable/None,3,0,Private company,4% on 401k,,"Company will pay $750 towards $4150 HSA 2024 limit. About $60 per month for health, $40 per month dental, $2 per month for vision. ",Not offered,,41 - 45,"Survey categories need to be improved, how is medical affairs not an option but regulatory is? Clinical dev as an option? Sales? "
2/8/2024 0:00:05,,,"DC Metro Area (DC, VA, MD, DE)",Contract Manufacturing Organization,Prefer not to say,Public,5000+,Associate Scientist ,Bachelors or Equivalent,None,,3,77000,N/A (no overtime/salaried),3850,Not Applicable/None,Have not been long enough to have an annual yearly raise,8000,,401k match first 4%,,,,,36 - 40,
2/8/2024 7:35:29,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Global Executive Director,PhD or Equivalent,None,,15,300000,N/A (no overtime/salaried),30,45,3,,,401K match 4%,,,,,46 - 50,
